customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,order_id,order_date,delivery_date,product_id,price_per_unit,quantity,product_total_price,product_type,product_name,size,colour,price,stock,description,order_day,order_month,order_year
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,2021-04-04,2021-04-06,211,106,3,318,Shirt,Chambray,S,red,105,72,"A red coloured, S sized, Chambray Shirt",6,4,2021
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,455,2021-04-04,2021-04-06,783,91,2,182,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket",6,4,2021
81,Lanny Wardale,Female,30,4870 Jackson SummitApt. 538,1915,Spencerborough,Western Australia,Australia,863,2021-05-10,2021-05-18,783,91,1,91,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket",0,5,2021
258,Mira Heinonen,Female,62,2719 Dietrich KnollApt. 175,1252,South Declan,Queensland,Australia,793,2021-01-27,2021-02-03,783,91,3,273,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket",2,1,2021
432,Ettie Gonnely,Bigender,34,6172 Andrew AvenueApt. 194,7029,North Cody,Victoria,Australia,939,2021-04-02,2021-04-21,783,91,2,182,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket",4,4,2021
944,Peri Pilsworth,Genderfluid,36,409 Alyssa CourtApt. 204,8196,Walterland,Victoria,Australia,817,2021-06-27,2021-07-05,783,91,1,91,Jacket,Pullover,L,yellow,114,43,"A yellow coloured, L sized, Pullover Jacket",6,6,2021
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,2021-03-06,2021-04-01,525,98,2,196,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket",5,3,2021
268,Muire Ashtonhurst,Male,47,25 Mikayla MewsApt. 558,3668,West Michael,South Australia,Australia,993,2021-03-29,2021-04-11,525,98,2,196,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket",0,3,2021
409,Alphonse Galego,Male,75,553 Alexander TrailSuite 694,134,New Chase,Australian Capital Territory,Australia,339,2021-04-06,2021-04-13,525,98,2,196,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket",1,4,2021
461,Alina Strotton,Female,54,2501 Hackett ManorSuite 051,60,West Chasemouth,Australian Capital Territory,Australia,182,2021-02-22,2021-03-04,525,98,1,98,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket",0,2,2021
566,Melissa Partkya,Male,23,95 Rice Station StSuite 985,2919,O'keefeton,Tasmania,Australia,161,2021-03-22,2021-04-11,525,98,3,294,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket",0,3,2021
794,Elizabet Pippin,Non-binary,72,14 Clark PlazaSuite 716,9751,Port Anna,South Australia,Australia,645,2021-08-19,2021-09-13,525,98,2,196,Jacket,Leather,XS,red,113,67,"A red coloured, XS sized, Leather Jacket",3,8,2021
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,2021-03-06,2021-04-01,792,91,2,182,Jacket,Pullover,M,blue,114,44,"A blue coloured, M sized, Pullover Jacket",5,3,2021
461,Alina Strotton,Female,54,2501 Hackett ManorSuite 051,60,West Chasemouth,Australian Capital Territory,Australia,182,2021-02-22,2021-03-04,792,91,3,273,Jacket,Pullover,M,blue,114,44,"A blue coloured, M sized, Pullover Jacket",0,2,2021
898,Jillian Sauven,Bigender,41,99 Sophia TrailApt. 477,3377,Angelinaport,New South Wales,Australia,886,2021-09-22,2021-10-18,792,91,2,182,Jacket,Pullover,M,blue,114,44,"A blue coloured, M sized, Pullover Jacket",2,9,2021
996,Elvira Sarfati,Agender,59,0433 Armstrong HillSuite 974,7613,Lake Danielland,Tasmania,Australia,169,2021-03-09,2021-03-12,792,91,3,273,Jacket,Pullover,M,blue,114,44,"A blue coloured, M sized, Pullover Jacket",1,3,2021
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,2021-03-06,2021-04-01,179,98,1,98,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt",5,3,2021
60,Hyacinth Pepper,Agender,20,8095 Kuhlman StreetApt. 657,4907,New Callum,Tasmania,Australia,524,2021-07-21,2021-08-01,179,98,1,98,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt",2,7,2021
328,Wadsworth Olivier,Non-binary,59,4309 Nguyen KnollApt. 851,6795,North Elijahshire,Western Australia,Australia,238,2021-03-17,2021-03-27,179,98,2,196,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt",2,3,2021
415,Ashley Gant,Polygender,40,458 Imogen Station StSuite 799,7671,Dietrichville,South Australia,Australia,194,2021-10-23,2021-11-03,179,98,3,294,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt",5,10,2021
508,Jan Isenor,Non-binary,65,6863 Tremblay KnollSuite 290,9728,West Annaport,Northern Territory,Australia,394,2021-09-06,2021-09-10,179,98,1,98,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt",0,9,2021
586,Wenona Stuck,Agender,34,71 Jade CrescentApt. 142,5142,Hallhaven,New South Wales,Australia,189,2021-07-17,2021-08-08,179,98,2,196,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt",5,7,2021
628,Frayda Simonini,Non-binary,75,774 Christiansen StreetSuite 261,2197,West Sophie,Northern Territory,Australia,224,2021-07-07,2021-08-02,179,98,3,294,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt",2,7,2021
696,Miner Craddock,Non-binary,38,8353 Bruen ParkwayApt. 455,5325,Callummouth,Australian Capital Territory,Australia,717,2021-03-11,2021-04-05,179,98,3,294,Shirt,Camp Collared,XL,red,112,79,"A red coloured, XL sized, Camp Collared Shirt",3,3,2021
1,Leanna Busson,Female,30,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,Northern Territory,Australia,670,2021-03-06,2021-04-01,789,91,3,273,Jacket,Pullover,XL,green,114,65,"A green coloured, XL sized, Pullover Jacket",5,3,2021
